timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1618124438331,4181,HTTP Request,200,OK,Thread Group 1-11,text,true,,163667,252,30,30,https://searchcode.com/?q=test,589,0,294
1618124438331,589,HTTP Request-0,301,Moved Permanently,Thread Group 1-11,text,true,,408,126,30,30,http://searchcode.com/?q=test,589,0,294
1618124438920,3592,HTTP Request-1,200,OK,Thread Group 1-11,text,true,,163259,126,30,30,https://searchcode.com/?q=test,1529,0,915
1618124438364,4226,HTTP Request,200,OK,Thread Group 1-12,text,true,,163667,252,29,29,https://searchcode.com/?q=test,613,0,307
1618124438364,613,HTTP Request-0,301,Moved Permanently,Thread Group 1-12,text,true,,408,126,29,29,http://searchcode.com/?q=test,613,0,307
1618124438978,3612,HTTP Request-1,200,OK,Thread Group 1-12,text,true,,163259,126,29,29,https://searchcode.com/?q=test,1531,0,915
1618124438101,4570,HTTP Request,200,OK,Thread Group 1-4,text,true,,163667,252,28,28,https://searchcode.com/?q=test,658,0,325
1618124438101,658,HTTP Request-0,301,Moved Permanently,Thread Group 1-4,text,true,,408,126,28,28,http://searchcode.com/?q=test,658,0,325
1618124438759,3912,HTTP Request-1,200,OK,Thread Group 1-4,text,true,,163259,126,28,28,https://searchcode.com/?q=test,1526,0,917
1618124438199,4492,HTTP Request,200,OK,Thread Group 1-7,text,true,,163667,252,27,27,https://searchcode.com/?q=test,664,0,332
1618124438199,664,HTTP Request-0,301,Moved Permanently,Thread Group 1-7,text,true,,408,126,27,27,http://searchcode.com/?q=test,664,0,332
1618124438863,3828,HTTP Request-1,200,OK,Thread Group 1-7,text,true,,163259,126,27,27,https://searchcode.com/?q=test,1518,0,906
1618124438463,4233,HTTP Request,200,OK,Thread Group 1-15,text,true,,163667,252,26,26,https://searchcode.com/?q=test,706,0,361
1618124438463,706,HTTP Request-0,301,Moved Permanently,Thread Group 1-15,text,true,,408,126,26,26,http://searchcode.com/?q=test,706,0,361
1618124439169,3527,HTTP Request-1,200,OK,Thread Group 1-15,text,true,,163259,126,26,26,https://searchcode.com/?q=test,1517,0,907
1618124438265,4447,HTTP Request,200,OK,Thread Group 1-9,text,true,,163667,252,25,25,https://searchcode.com/?q=test,641,0,325
1618124438265,641,HTTP Request-0,301,Moved Permanently,Thread Group 1-9,text,true,,408,126,25,25,http://searchcode.com/?q=test,641,0,325
1618124438906,3806,HTTP Request-1,200,OK,Thread Group 1-9,text,true,,163259,126,25,25,https://searchcode.com/?q=test,1525,0,910
1618124438035,4695,HTTP Request,200,OK,Thread Group 1-2,text,true,,163667,252,24,24,https://searchcode.com/?q=test,661,0,327
1618124438035,661,HTTP Request-0,301,Moved Permanently,Thread Group 1-2,text,true,,408,126,24,24,http://searchcode.com/?q=test,661,0,327
1618124438697,4033,HTTP Request-1,200,OK,Thread Group 1-2,text,true,,163259,126,24,24,https://searchcode.com/?q=test,1597,0,962
1618124438002,4730,HTTP Request,200,OK,Thread Group 1-1,text,true,,163667,252,23,23,https://searchcode.com/?q=test,724,0,368
1618124438002,724,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,text,true,,408,126,23,23,http://searchcode.com/?q=test,724,0,368
1618124438726,4006,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,163259,126,23,23,https://searchcode.com/?q=test,1590,0,949
1618124438397,4430,HTTP Request,200,OK,Thread Group 1-13,text,true,,163667,252,22,22,https://searchcode.com/?q=test,628,0,319
