timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1618125245761,4327,HTTP Request,200,OK,Thread Group 1-24,text,true,,163665,252,100,100,https://searchcode.com/?q=test,553,0,271
1618125245761,553,HTTP Request-0,301,Moved Permanently,Thread Group 1-24,text,true,,408,126,100,100,http://searchcode.com/?q=test,553,0,271
1618125246315,3773,HTTP Request-1,200,OK,Thread Group 1-24,text,true,,163257,126,100,100,https://searchcode.com/?q=test,1441,0,877
1618125245809,4582,HTTP Request,200,OK,Thread Group 1-29,text,true,,163665,252,99,99,https://searchcode.com/?q=test,533,0,263
1618125245809,533,HTTP Request-0,301,Moved Permanently,Thread Group 1-29,text,true,,408,126,99,99,http://searchcode.com/?q=test,533,0,263
1618125246344,4047,HTTP Request-1,200,OK,Thread Group 1-29,text,true,,163257,126,99,99,https://searchcode.com/?q=test,1536,0,947
1618125245721,4873,HTTP Request,200,OK,Thread Group 1-20,text,true,,163665,252,98,98,https://searchcode.com/?q=test,586,0,289
1618125245721,586,HTTP Request-0,301,Moved Permanently,Thread Group 1-20,text,true,,408,126,98,98,http://searchcode.com/?q=test,586,0,289
1618125246308,4286,HTTP Request-1,200,OK,Thread Group 1-20,text,true,,163257,126,98,98,https://searchcode.com/?q=test,1327,0,810
1618125245700,5112,HTTP Request,200,OK,Thread Group 1-18,text,true,,163665,252,97,97,https://searchcode.com/?q=test,583,0,286
1618125245700,583,HTTP Request-0,301,Moved Permanently,Thread Group 1-18,text,true,,408,126,97,97,http://searchcode.com/?q=test,583,0,286
1618125246284,4528,HTTP Request-1,200,OK,Thread Group 1-18,text,true,,163257,126,97,97,https://searchcode.com/?q=test,1504,0,917
1618125245990,4908,HTTP Request,200,OK,Thread Group 1-47,text,true,,163665,252,96,96,https://searchcode.com/?q=test,559,0,272
1618125245990,559,HTTP Request-0,301,Moved Permanently,Thread Group 1-47,text,true,,408,126,96,96,http://searchcode.com/?q=test,559,0,272
1618125246550,4348,HTTP Request-1,200,OK,Thread Group 1-47,text,true,,163257,126,96,96,https://searchcode.com/?q=test,1394,0,838
1618125245831,5085,HTTP Request,200,OK,Thread Group 1-31,text,true,,163665,252,95,95,https://searchcode.com/?q=test,541,0,273
1618125245831,541,HTTP Request-0,301,Moved Permanently,Thread Group 1-31,text,true,,408,126,95,95,http://searchcode.com/?q=test,541,0,273
1618125246373,4543,HTTP Request-1,200,OK,Thread Group 1-31,text,true,,163257,126,95,95,https://searchcode.com/?q=test,1452,0,902
1618125245531,5569,HTTP Request,200,OK,Thread Group 1-1,text,true,,163665,252,94,94,https://searchcode.com/?q=test,614,0,315
1618125245531,614,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,text,true,,408,126,94,94,http://searchcode.com/?q=test,614,0,315
1618125246145,4955,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,163257,126,94,94,https://searchcode.com/?q=test,1595,0,966
1618125245571,5561,HTTP Request,200,OK,Thread Group 1-5,text,true,,163665,252,93,93,https://searchcode.com/?q=test,601,0,295
